,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,1072,2003,1108,2039,995.0,1296.0,37.5657509906924,33.79547241193147,1089.4814070351758,2020.6211055276383,0.4366422822773583,1028.0,117.74011537017762,35.593164329846914,0.7677469135802469,-0.8300361399863413
1,2,1074,1944,1115,1993,1641.0,2009.0,50.425877917190064,41.64123064196389,1093.7007921998782,1968.8013406459477,0.5639764221652873,1681.0,152.5685424949238,45.7098030285671,0.8168242906918866,1.5202770414879043
2,3,1115,2084,1163,2144,1899.0,2880.0,62.06757978745269,40.612189763034316,1138.1226961558716,2112.8388625592415,0.7562159588989423,2028.0,179.43860018001263,49.17196249339733,0.659375,1.1275120585892466
3,4,1128,1654,1172,1699,1555.0,1980.0,45.2720133933231,43.914016692643166,1149.096463022508,1675.2379421221865,0.2430904873770815,1589.0,145.88225099390857,44.495926690689096,0.7853535353535354,-1.2084240943201252
4,5,1129,2046,1157,2074,628.0,784.0,29.49447043665152,27.176874023041144,1142.7850318471337,2059.2261146496817,0.388561762175066,640.0,90.42640687119285,28.277100878514442,0.8010204081632653,-0.6302488812957284
5,6,1149,1609,1175,1634,492.0,650.0,25.46436427401466,24.739338200772245,1161.0995934959349,1620.719512195122,0.23692552281926021,513.0,82.76955262170046,25.028660691489268,0.7569230769230769,0.6659619048953036
6,7,1168,2398,1190,2425,488.0,594.0,27.548985910110975,22.61643176198034,1178.7090163934427,2411.409836065574,0.5709952955333446,503.0,80.5269119345812,24.926710529686012,0.8215488215488216,-1.5551845687087484
7,8,1173,2230,1207,2290,1504.0,2040.0,64.98610168445505,30.838627258182587,1189.5751329787233,2259.851063829787,0.8802329228199642,1649.0,164.61017305526642,43.760167678857044,0.7372549019607844,1.4180846144605068
8,9,1189,1811,1211,1836,411.0,550.0,24.286539439803203,21.670247888563253,1199.087591240876,1823.4428223844282,0.4514942906492876,428.0,74.18376618407356,22.875783109789968,0.7472727272727273,1.417508647907044
9,10,1210,1979,1246,2013,964.0,1224.0,37.716809935154764,32.59712036986639,1227.4170124481327,1995.8257261410788,0.5030458237790636,993.0,116.66904755831213,35.03431062722223,0.7875816993464052,0.5281897953384224
10,11,1215,1768,1254,1814,1406.0,1794.0,46.34794273612834,38.71235552125364,1233.3044096728306,1790.275960170697,0.5498626362781879,1446.0,140.8111831820431,42.31045733500926,0.7837235228539576,-1.46076860123919
11,12,1233,1576,1256,1598,341.0,506.0,24.23879262258595,18.28652267638697,1242.7155425219942,1586.5307917888563,0.6563781229689046,363.0,71.35533905932738,20.83685880248485,0.6739130434782609,0.8610872241746318
12,13,1233,1724,1261,1752,576.0,784.0,30.05557902171038,24.51813264953798,1246.8055555555557,1737.90625,0.5783908495764916,606.0,91.59797974644665,27.081100010292303,0.7346938775510204,-0.8657457725771194
13,14,1237,1909,1267,1940,736.0,930.0,31.565733111882047,29.74462813424943,1251.2404891304348,1923.4904891304348,0.3347484293726157,758.0,99.84062043356593,30.612159429303247,0.7913978494623656,1.0205583687759987
14,15,1241,2215,1274,2258,1092.0,1419.0,42.840075154141765,32.61993593974629,1256.5009157509157,2236.2847985347985,0.648241176525275,1129.0,125.74011537017762,37.28776720119881,0.7695560253699789,1.5194053381165438
15,16,1250,2433,1276,2463,633.0,780.0,30.32430321239287,26.74535769341456,1263.003159557662,2446.957345971564,0.47129123100260056,654.0,92.76955262170048,28.38944578214513,0.8115384615384615,1.3127139121444604
16,17,1251,2174,1287,2209,975.0,1260.0,37.16120835315146,33.58721629823813,1268.206153846154,2191.4584615384615,0.4279030194241923,1006.0,116.32590180780451,35.233628199729644,0.7738095238095238,0.8904144207143619
17,18,1256,2381,1296,2426,1441.0,1800.0,47.8405135223359,38.545309892160134,1276.355308813324,2402.797362942401,0.5923179036722946,1483.0,144.22539674441617,42.83384390833222,0.8005555555555556,1.0755704923947729
18,19,1272,2111,1308,2150,989.0,1404.0,37.142020840568115,34.085396769403886,1289.9555106167845,2130.521739130435,0.3972638842669876,1026.0,118.46803743153546,35.485685983831225,0.7044159544159544,1.2930971851052044
19,20,1290,2469,1325,2504,994.0,1225.0,36.101321397651006,35.21601800707694,1306.579476861167,2486.413480885312,0.22010024790796057,1025.0,118.08326112068524,35.575273821388244,0.8114285714285714,1.4912149468929838
20,21,1296,1356,1326,1384,617.0,840.0,32.72348800412379,24.10309491096543,1310.6207455429499,1369.682333873582,0.6763628057958868,643.0,93.84062043356596,28.02835705319874,0.7345238095238096,-0.6923953119870472
21,22,1310,1838,1362,1898,2120.0,3120.0,62.31898309904566,46.150307993712545,1335.6466981132075,1867.4811320754718,0.6720015272134858,2321.0,192.95331880577405,51.95447848683061,0.6794871794871795,1.0949447172873834
22,23,1320,1536,1355,1562,714.0,910.0,35.47231507365916,25.71133759709797,1337.8333333333333,1548.4789915966387,0.6889295646980331,729.0,99.25483399593904,30.15116971098976,0.7846153846153846,-0.3173943290199985
23,24,1334,2084,1362,2115,722.0,868.0,33.202612278376506,27.85610982948408,1346.8795013850415,2099.336565096953,0.5441723693048816,746.0,99.94112549695429,30.319613310508885,0.8317972350230415,1.2019180099885
24,25,1341,1724,1371,1757,761.0,990.0,32.77854993375171,29.626583960771544,1355.318002628121,1739.7884362680684,0.42786935523518,782.0,102.91168824543142,31.127725479762553,0.7686868686868686,1.3300593460087076
25,26,1352,2680,1373,2704,391.0,504.0,24.964409570387424,20.078991250285377,1361.5780051150896,2692.051150895141,0.5942171275357886,404.0,73.11269837220809,22.312253628700276,0.7757936507936508,1.2258170722466557
26,27,1354,1406,1415,1458,2015.0,3172.0,70.83651350660197,37.6007829329124,1382.4833746898264,1429.6883374689826,0.8474903814315823,2191.0,192.40916292848976,50.65153188839754,0.6352459016393442,-0.525626584395471
27,28,1363,1586,1405,1635,1646.0,2058.0,50.16854713835554,41.89130254457606,1384.228432563791,1610.102673147023,0.5502328320826739,1675.0,149.88225099390857,45.779387180630515,0.7998056365403304,-1.2580061846130262
28,29,1369,2551,1395,2575,527.0,624.0,27.143266574838538,24.833071904758032,1381.593927893738,2562.1859582542693,0.4037058268706502,543.0,83.698484809835,25.903614421069328,0.844551282051282,0.342398397099775
29,30,1375,1366,1407,1395,699.0,928.0,35.269101405585594,25.407758492276763,1390.4005722460658,1380.035765379113,0.6935618309897553,733.0,101.59797974644665,29.83277462405867,0.7532327586206896,-0.5630404324874952
30,31,1376,2255,1395,2279,363.0,456.0,24.300240611748567,19.406821399282187,1385.3360881542699,2266.746556473829,0.6018266908026766,383.0,72.62741699796952,21.498510523728477,0.7960526315789473,1.4324177580321749
31,32,1390,2187,1441,2243,1917.0,2856.0,61.81370996192344,41.07581282992588,1414.188836724048,2214.113197704747,0.7472795961412576,2071.0,188.61017305526642,49.404455338130255,0.6712184873949579,0.7908800751364806
32,33,1390,2608,1433,2655,1546.0,2021.0,49.7254175382833,39.638524479629965,1410.9230271668823,2630.9126778783957,0.603783761595688,1588.0,147.29646455628165,44.36697348434488,0.7649678377041069,0.973747900941732
33,34,1395,2413,1429,2443,790.0,1020.0,33.33675669716098,30.23139711275176,1410.940506329114,2427.378481012658,0.4214561563125212,813.0,104.08326112068524,31.71528401797434,0.7745098039215687,0.29320443295726883
34,35,1401,1309,1428,1332,489.0,621.0,27.552221511502886,22.65621092787647,1414.725971370143,1320.3374233128834,0.5690532182506649,508.0,81.94112549695429,24.952237121658943,0.7874396135265701,-0.3768663583990532
35,36,1408,2101,1444,2138,1036.0,1332.0,37.53717973921635,35.241438102680355,1424.8339768339767,2119.0945945945946,0.34435133203980683,1075.0,120.32590180780451,36.319088209172165,0.7777777777777778,1.4876600544384584
36,37,1409,2669,1449,2710,1284.0,1640.0,42.79838749093479,38.26612230570885,1429.1370716510903,2689.073987538941,0.44786345934976546,1317.0,134.22539674441617,40.43314946229083,0.7829268292682927,0.9822789353223056
37,38,1410,1380,1437,1402,482.0,594.0,27.16071035575402,22.731336909144215,1422.5663900414938,1390.1369294605809,0.5473255060028843,496.0,79.94112549695429,24.77299861870477,0.8114478114478114,-0.27844816397530586
38,39,1416,1574,1443,1604,611.0,810.0,29.738796502492036,26.21088287010669,1428.746317512275,1589.08674304419,0.4724266452584025,635.0,91.84062043356595,27.891743614073043,0.754320987654321,1.3423823548468472
39,40,1418,1871,1453,1909,988.0,1330.0,37.85506800326741,33.38238956164982,1434.90991902834,1888.0607287449393,0.47153508573191383,1020.0,117.39696961967,35.467741261579384,0.7428571428571429,1.025108937404672
40,41,1419,2820,1438,2843,324.0,437.0,22.639145753665797,18.42939306416816,1427.5586419753085,2830.533950617284,0.5807950170548352,340.0,66.5269119345812,20.310825007719227,0.7414187643020596,1.4779018312941121
41,42,1420,1814,1478,1864,1893.0,2900.0,62.836064957849274,40.01946626599974,1450.0100369783413,1837.0602218700476,0.770957251582935,2050.0,180.02438661763952,49.09422021158563,0.6527586206896552,0.517742077096867
42,43,1450,2492,1482,2530,958.0,1216.0,37.59793805073375,32.52297666489976,1465.8799582463466,2509.9864300626305,0.5017370008662941,984.0,114.32590180780451,34.92511251028815,0.787828947368421,-1.513953130973674
